Toplam listede: 257
Zaten vardı: 25
Yeni: 232
Oluşturulan klasör: 232
Oluşturulan placeholder jpg: 928

=== YENİ EKLENENLER (name -> id | categories) ===
- Our Home Restaurant & Cafe -> our-home-restaurant-and-cafe | ['cafe']
- Hideaway Bar -> hideaway-bar | ['bar']
- Woon Terrace -> woon-terrace | ['food']
- Friends Pub Kalkan -> friends-pub-kalkan | ['bar']
- The One -> the-one | ['food']
- Ehlikeyf Butik Kahve -> ehlikeyf-butik-kahve | ['cafe']
- Zaika -> zaika | ['food']
- Ehl-i Keyf Kaş Restaurant -> ehl-i-keyf-kas-restaurant | ['food']
- Hikaye Fine Dining Cousine -> hikaye-fine-dining-cousine | ['food']

=== ZATEN OLANLAR (name -> id) ===
- Beyhude Meyhane -> beyhude-meyhane
- Dudu Mutfak -> dudu-mutfak
- Hold&Bite -> hold-and-bite
- Hüseyin'in Yeri Cafe White -> huseyinin-yeri-cafe-white
- Sempati Turkish Cuisine -> sempati-turkish-cuisine
- Bay Kofte -> bay-kofte
- Frida Pub -> frida-pub
- Panorama Restaurant -> panorama-restaurant
- Ora Kebap Restaurant -> ora-kebap-restaurant
- Lily's Corner -> lilys-corner
- Smiley's Restaurant -> smileys-restaurant
- Zuhtu Meze Cocktails -> zuhtu-meze-cocktails
- Oburus Momus -> oburus-momus
- Voyn Meyhane -> voyn-meyhane
- Bilal'in Yeri -> bilalin-yeri
- Zaika Ocakbaşı -> zaika-ocakbasi
- Emre Restaurant -> emre-restaurant
- Zoka Street Food -> zoka-street-food
- Çi Neo Cucina by Mezetaryen -> ci-neo-cucina-by-mezetaryen
- Dragoman Bahçe -> dragoman-bahce
- Memedin Yeri -> memedin-yeri
- The Shotlar Terminali -> the-shotlar-terminali
- Red Point Bar -> red-point-bar
- Ara Bar -> ara-bar
- Oxygen Pub -> oxygen-pub
